Area|Ethnic group|Age group|Birthplace|Year|Value|Flags
"Central Otago District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|99|
"Central Otago District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|15|
"Central Otago District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|1341|
"Central Otago District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|411|
"Central Otago District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|309|
"Central Otago District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|18171|
"Waitaki District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|198|
"Waitaki District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|198|
"Waitaki District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|180|
"Waitaki District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|498|
"Waitaki District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|183|
"Waitaki District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|66|
"Waitaki District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|12|
"Waitaki District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|1257|
"Waitaki District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|378|
"Waitaki District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|462|
"Waitaki District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|18651|
"Chatham Islands Territory"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|3|
"Chatham Islands Territory"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|0|
"Chatham Islands Territory"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|3|
"Chatham Islands Territory"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|3|
"Chatham Islands Territory"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|0|
"Chatham Islands Territory"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|0|
"Chatham Islands Territory"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|0|
"Chatham Islands Territory"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|12|
"Chatham Islands Territory"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|18|
"Chatham Islands Territory"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|0|
"Chatham Islands Territory"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|600|
"Waimate District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|42|
"Waimate District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|90|
"Waimate District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|81|
